
bg;balaton_background.png;1600;900
cb;0;0;150;200
dt;0;124;150;400
platebox;0;372;150;200
tc;0;496;150;200
cb;0;620;150;200
cb;0;744;150;200
cf;150;0;150;200
cornbox;300;0;150;200
pbox;450;0;150;200
cb;600;0;150;200
cheesebox;750;0;150;200
cf;900;0;150;200
cf;1050;0;150;200
cf;1200;0;150;200
hekkbox;150;744;150;200
wst;300;744;150;200
cb;450;744;150;200
cb;600;744;150;200
ost;750;744;150;200
cb;900;744;150;200
ost;1050;744;150;200
cb;1200;744;150;200
waterbox;1200;124;150;200
cutb;1200;248;150;200
flourbox;1200;372;150;200
cb;1200;496;150;200
sourcreambox;1200;620;150;200
cb;600;124;150;200
mixc;600;248;150;200
mixc;600;372;150;200
